Date,Open,High,Low,Close,Adj Close,Volume
29-Jun-16,1414.5,1425.85,1408,1417.75,1417.94,1055961
30-Jun-16,1431,1437,1415.5,1429.95,1428.62,2347089
1-Jul-16,1433,1474.9,1432.5,1463.1,1451.28,1164931
4-Jul-16,1472.7,1477.45,1452.45,1465.4,1464.95,864248
5-Jul-16,1472.7,1484,1455.3,1459.7,1464.47,485055
7-Jul-16,1455,1469.7,1450,1456.8,1459.68,798891
8-Jul-16,1455.9,1465.5,1447.05,1453.45,1456.15,714249
11-Jul-16,1467.95,1479.6,1461,1471.95,1470.72,658300
12-Jul-16,1473.25,1480.3,1470.05,1475.15,1475.01,470474
13-Jul-16,1474,1480,1460.25,1464.45,1470.83,752671
14-Jul-16,1455.55,1461.05,1429.65,1447.25,1443.73,916311
15-Jul-16,1457.9,1485.2,1449.1,1464.8,1470.93,1260576
18-Jul-16,1470,1481.7,1463.5,1468.7,1470.84,737252
19-Jul-16,1468.2,1475,1443.2,1456.6,1453.4,696059
20-Jul-16,1464,1471.75,1458.1,1461.4,1463.95,722534
21-Jul-16,1452,1455.9,1429.05,1434.85,1442.78,1245976
22-Jul-16,1437,1446.65,1436.6,1440.55,1443.06,1016863
25-Jul-16,1440,1468.4,1438.25,1463.65,1452.32,959806
26-Jul-16,1468,1469.7,1444.2,1448.95,1463.48,1002274
27-Jul-16,1450.55,1463.85,1436,1453.8,1452.45,671284
28-Jul-16,1463,1463,1446.15,1452.5,1455.54,1529796
29-Jul-16,1454,1479.9,1452.5,1466.75,1469.3,1892251
1-Aug-16,1472.9,1493.75,1456.05,1470.15,1477.93,1278011
2-Aug-16,1480,1488.7,1451.9,1457.95,1472.37,749424
3-Aug-16,1461.7,1469.9,1440.6,1446.5,1453.13,672513
4-Aug-16,1459.8,1464.8,1431.1,1435.7,1442.96,680897
5-Aug-16,1444.5,1490,1444,1484,1465.34,935388
8-Aug-16,1495,1505.25,1473.75,1497.85,1492.3,1780007
9-Aug-16,1507,1508.95,1467.9,1480.75,1484.97,773418
10-Aug-16,1489,1494,1435,1449.15,1460.37,3301028
11-Aug-16,1445.2,1452.7,1411,1421.6,1424.52,1672126
12-Aug-16,1428,1477,1424.05,1450.85,1449.41,1924274
16-Aug-16,1452.25,1461.35,1431.35,1443.65,1446.99,1508994
17-Aug-16,1443.65,1456.45,1435.65,1450.5,1449.86,590552
18-Aug-16,1456.1,1467.45,1452.75,1460.25,1462.3,685983
19-Aug-16,1462,1468.4,1451.6,1458.95,1460.28,763937
22-Aug-16,1460.4,1461.95,1435.05,1443.55,1445.84,603975
23-Aug-16,1447.9,1448.75,1431,1442.7,1440.66,450412
24-Aug-16,1442.85,1451.6,1432.2,1434.85,1442.68,501519
25-Aug-16,1445,1445,1408,1413.85,1427.35,982787
26-Aug-16,1418.9,1432.25,1415.2,1424.85,1422.85,668050
29-Aug-16,1428,1428.8,1413.5,1422.4,1421.73,556511
30-Aug-16,1427.95,1438.95,1425,1436,1432.38,1360032
31-Aug-16,1442,1448.35,1430.45,1436.6,1440.15,1293769
1-Sep-16,1439,1465,1438.05,1453.55,1455.59,1165665
2-Sep-16,1460,1476,1435.6,1473.6,1461.78,1408316
6-Sep-16,1480,1495,1479.1,1489.85,1488.85,1150021
7-Sep-16,1495,1500,1480.75,1488.75,1491.88,970188
8-Sep-16,1494,1500,1482.55,1492.1,1494.18,860713
9-Sep-16,1494.05,1497,1460.9,1472.45,1473.65,649079
12-Sep-16,1456.5,1458,1416,1425.95,1426.72,687478
14-Sep-16,1432.4,1432.4,1405.8,1411.55,1417.57,1142061
15-Sep-16,1418.9,1423.1,1395.55,1406.25,1405.94,682836
16-Sep-16,1412,1431.2,1401.05,1406.65,1413.93,774423
19-Sep-16,1417.9,1429.5,1407,1417,1420.68,553728
20-Sep-16,1423,1426.65,1405.5,1409.85,1411.14,613237
21-Sep-16,1408,1425.95,1401.2,1406.9,1413.83,1047587
22-Sep-16,1420,1422.5,1408.2,1413.6,1414.41,968035
23-Sep-16,1418.9,1427,1407.05,1410.1,1418.67,736383
26-Sep-16,1410.1,1410.1,1376,1380.2,1386.5,890593
27-Sep-16,1380,1390.75,1368.65,1371.7,1381.02,979381
28-Sep-16,1375.65,1389.9,1370,1376.75,1376.03,1042651
29-Sep-16,1386.9,1415.95,1358.35,1364.4,1384.35,2635103
30-Sep-16,1370.5,1415.35,1350,1405.7,1388.75,1068875
3-Oct-16,1413,1452,1400.05,1443.85,1441.73,1801610
4-Oct-16,1450.5,1454.75,1411,1415.35,1427.99,1583938
5-Oct-16,1425.9,1425.9,1394.8,1399.2,1401.11,1150299
6-Oct-16,1407.9,1407.9,1365.5,1372.9,1382.35,1063811
7-Oct-16,1375,1388,1370,1374,1376.4,687365
10-Oct-16,1378.1,1388,1374.95,1376.9,1380.46,364693
